,confessions,categories
0,"If my A levels isn't good enough to get into CS, is it possible get into CS by first enrolling as a math major and then applying for double degree in year 2? Seniors who have tried that route, what are your advice?
","Advice, Ask Prof Ben
SHARE:"
1,"Dear Prof Ben and other SoC friends,
I am in my final year in NUS and wanted to take up CS modules to aid me in my jobhunting. I currently have CS2030 and 2040, and am looking to drop one of them (and maybe take as guest?). Any advice on which would be more helpful (grades aren't that important to me)? 2030 seems to be more focused on styles but 2040 seems to be more technical. Thanks!
","Advice, Ask Prof Ben
SHARE:"
2,"I recently got back in contact with an old acquaintance whom I used to be rather close with. 

Ever since we knew each other,i was aware that he is married and was constantly hitting on me. I hadn't try hard to avoid his advances as the relationship was beneficial to my career advancement. 

Since then, I went away and recently came back and he again tried to get back in touch. I am well aware what he has in mind but I came to know that his wife is currently pregnant. I start to feel disgusted at his doings, and really pity the wife. I have also since stopped contacting him. But I'm unsure if I should tell his wife about this sickening behaviour especially they have been trying for years to conceive. And now that they finally got somewhere, I thought the guy would wake up from his idea and spend more time with his partner. But apparently he hasn't. I'm sure he will just start to someone else, if not me. I'm really lost as I feel both guilty and pity his partner. Please give me some advice.
","Advice, Ask Prof Ben
SHARE:"
3,"To confession #75084, 

I was bullied in Primary school. But I could not rmb what happened. I had suppressed part of my memory. Till now, I often have weird dreams about what actually happened.

I was bullied in secondary school. I was cyberbullied by my cca friend. And because of this, I became a weird person. I hate people approaching me. I hated myself and I tortured myself. I felt that no one really understand how I feel. I got really scared to make friends with people. Some of classmates made friend with me, but after telling them a small little secret which isn’t even true, they just spread hurtful words around in school. And because of that, I was famous in school and everyone hated me. I felt that I became a loner myself. I got very affected in my studies that I could not concentrate easily. 

When I went to ite, my senior that was in the same secondary school as me, spread gossips about me in class. Ended up everyone hated me and I became a loner myself. In my second yr, my sec sch senior even said a gossip about me right in front of me. I hated her. I wanted to give her a tight slap. And I have one sentence for her: YOU HATE ME, I HATE YOU TOO!! 

Now in poly, no one in the class seems to be willing to make friends with me. I am always quiet in class. And it seems very difficult for me to step out of my comfort zone. Cos the moment I step out, everyone starts judging me. Nevertheless, I am not gonna step out of my zone. Wish me all the best. A lot of people told me I need to step out of my comfort zone some day. But, I refused to. I only want to say: what’s the point of stepping out of my zone when everyone like to judge me about what I do? CANT YOU JUST LOOK AT YOURSELF AND JUDGE YOURSELF BEFORE YOU EVEN GIVE THE HECK TO JUDGE OTHERS? I KNOW IM A LONER, BUT WHAT MAKES YOU THINK YOU CAN JUDGE ME AND GOSSIP ABOUT ME AS AND WHEN YOU WANT? I HELPED YOU AND YOU GOSSIPED ABOUT ME. IS THAT HOW YOU THANK ME FOR HELPING YOU? IF THATS THE CASE, I MIGHT AS WELL DONT HELP YOU!
","Advice, Ask Prof Ben
SHARE:"
4,"As someone who graduated from university some years back, I can't stress enough the importance of having a good mentor. I wasn't from NUS, but my mentor was. You see, my mentor was the longtime CEO of the company I work in and he was a Jack Welch-type figure here. Suffice to say, many of our company's businesses were built up by him.

I was not his original protege. It was another person. Let's name him X. X was originally the COO to my mentor and was slated to take over when my mentor retires. However, X was caught dabbling in some backdoor transaction. My mentor then ousted X and made me his heir-apparent. After some time, my mentor retired and I took over as CEO. My time finally came, or so I thought.

Not long after I took over as CEO, X managed to return to the board of directors by convincing some shareholders to support him. However, I once again found X dabbling in yet another backdoor transaction, so I ousted him from the company again. I also tried to form some joint ventures with our smaller but more nimble competitor for synergies and got a foreign conglomerate to invest in our company. This must have incensed my mentor for he hated our smaller competitor. I am unsure how it happened but some company money somehow landed in my personal bank account. You don't look at the gift horse in the mouth, so I decided to spend the money to pamper my wife instead of on myself.

On the pretext that I somehow lined my pockets with company money, my mentor is now conspiring with X to oust me at the next shareholders' meeting. My wife is also not helping as she keeps wanting to advise me and repeatedly emphasises that I am the CEO with the power to snuff out this conspiracy asap. It's vexing and I now regret having treated my mentor with gratitude. To all you young ones, please open your eyes wide and clear when following someone as a mentor.

I don't suppose you students have an answer to corporate shenanigans, so I just need your help for a simpler question: my friend wants to buy either a yacht or a submarine as his latest toy. Which should he buy?
","Rant, Advice, Ask Prof Ben
SHARE:"
5,"Dear Prof Ben, would like to seek your thoughts on joining govtech (off-site) vs the traditional SI companies for the best learning environment. Intend to be on the business IT side, would be great if you could share your 2 cents thanks!
","Ask Prof Ben
SHARE:"
6,"I met this girl through a dating app and found out that her family is loaded (they live in Orchard and her parents even bought her a car). Unfortunately, she is not very motivated and doesn't have a really good job. Her sister, however has excellent education background (from the top schools in Singapore) and is a better fit for me who comes similarly from a top school in Singapore.

How do I tell her that I'm more interested in her sister instead? :/
","Romance, Advice, Ask Prof Ben
SHARE:"
7,"If you only had one option, what would you chose? Financial security or true love in a relationship? If the person you really love is not financially stable compared to another person who you don’t love as much, would financial security be precedence over love?
","Funny, Advice, Ask Prof Ben
SHARE:"
8,"I'm the OP of #74946, the one asking for ways to counteract workplace favouritism.

To provide abit more context (I really want to solve this issue I guess):

- No, my boss and Person A are not sleeping together FOR SURE. They are the same gender, both got their own families with children. 

- I've actually been with the firm for 5 years already. Person A has been with the firm for 6.5 years. For a mere 1.5year difference, I don't think the ROI matters that much. In fact, I was at my previous firm for 2.5 years and being with my current firm double the number of years speak volumes about my willingness to stay and stick around. To allay my boss' distrust, I've mentioned multiple times that I won't leave and I'm also bonded (the firm pays for all my upgrading qualifications, which I've continuously been taking for the past 5 years to better prep myself while Person A didn't) as a sign of my commitment. 

- And yes, I talk to my boss whether it's work-wise or personal-wise or career-wise. I have multiple projects with my boss. My boss knows my ultimate career goal - communicated it across several times, knows I'm working hard towards it and I will personally schedule time to talk about career progression, my views on the team (I already lead one), how we can do better, and just general catch up on life - I do notice that these sessions seem to be abit one-sided though, like it's coming alot more from my own proactiveness and initiative. Of course Person A does it too, but the boss always seem more receptive (like in a better mood after coming back from these coffee sessions with Person A).

- I've also tried being ""hard to replace"" like how one commenter mentioned - I put my hand up most frequently, do the projects that no one wants to do, standby during public holidays, help out with business development and things generally to be done outside of work hours (otherwise known as saikang lol), help out whenever the team is busy, and my juniors have given me glowing reviews year after year. These are things that Person A does not have. 

It has come to a point where I feel that I've tried hard and things are stagnated, for reasons beyond my comprehension and control. I'm really unsure what else I have to do to appease my boss, and sometimes I feel like a slave/taken for a ride. 

Tts why I feel that at the end of the day, nothing I've done will satisfy my boss, and nothing I do moving forward will. I'm not sure if anybody here has ever been in my shoes and managed to turn things around, if so, would really love to hear from u. Oh and thanks for reading, oops another long post.
","Advice, Ask Prof Ben
SHARE:"
9,"How do u tell whether a boss is practicing favouritism in the workplace and how do u counteract that?

Headsup, this is quite a long post ahead. 

I am an executive working in a global firm. There are also 4 other executives (ie same rank), and we are all quite similar in terms of educational background, with 1 - 2 yrs difference in age. The skillsets we have are also broadly the same, but  because we work on different projects, there are some differences in the kind of exposure and experience we had.

I've noticed that my boss is particularly nice to one of the executives (let's just call the person A). Now don't get me wrong, my boss is generally friendly and will smile/talk to others in a calm manner, not like those horrible bosses u see in movies.

By acts of niceness I mean: by giving A opportunities to speak up, only asking for A's views in meetings, letting A run the bigger projects most of the time, following up with A when A comes back from holidays and asking A whether A feels overwhelmed, need more staffing resources etc etc.

Even though it feels like my boss sometimes 'wakes up' and treats the other executives better as well (like asking if we also need resources or spends effort coaching us), I can't help but feel that boss prefers A based on the number of times that boss is nice to A. I am guessing that it is because the only difference between the rest of us and A is that - A is homegrown ie has started career in this firm and stayed on throughout. A is not the most experienced (in terms of number of years working in this line) amongst us. This 'loyal' trait is very similar to my boss' own background - staying in one firm throughout, while the rest of us started our careers elsewhere before moving to the present firm. Plus because there was a period of time when we had massive turnover, it seems to me that the boss is afraid of people leaving and therefore feels that only homegrown employees are loyal will stay long and can be groomed.

If this continues, I'm concerned that when it comes to promotions, pay rise and general career progression, the boss will favour A too, since A gets the best exposure, best resources and best learning experience and naturally would perform better. Is this considered favouritism in such situations, and what can I do for myself and my career? Prof Ben, any wise words?
","Advice, Ask Prof Ben
SHARE:"
