,confessions,categories
0,"[ADMIN'S NOTE]

NUSSU reached out to us and was extending their help to the operations of the platform (submission/comments moderation, banning trolls, etc). While they have good intentions (?) in mind about understanding student sentiment better, we have some concerns about the school having too much influence over the platform and its contents.

What do you think? Yay or Nay?

- Yay: Like/Love/Heart
- Nay: Sad/Angry
- Popcorn: Wow
","Funny
SHARE:"
1,"[ADMIN'S NOTE]

In view of the abundance of the redundant flexing by many of the Top Fans here, we have decided to turn off the Top Fan badge display until those Top Fans can behave themselves. We may lose some Top Fans along the way but what we will have left will be True Fans, which matters more than the annoying flexers.

If you are in favor of this, react with a ""Like"", else react with an ""Angery"" :)
","Funny
SHARE:"
2,"Seeking for honest opinions. Sorry, it will be a very long story. No trolls please.
I'm average-looking and I’m currently going out with a guy that’s 7 years older than me and is a working adult. He is attractive, smart, modest, humorous, has a well-paying job, very popular and most important of all, he has a good personality. I have some mutual friends that that has told me that he always tries his best to keep a distance from girls that approaches him as well.

We really love each other and always make consistent effort to try our best to spend time with each other, with him working around with his hectic working life and with me managing my examinations, projects, etc. He treats me very well, understands me, and is always the first to notice if I’m in a sour mood after going through a bad day. Occasionally we do have our quarrels and fights due to our differences, but we managed to resolve it and stick together despite it all, accepting the other for who we are. In overall, we are together with each other for a good 1.5 years.

I know all of this sounds too good to be true, and all this while I'm trying my best to improve myself to be better - be it in terms of working on my appearance, personality, learning new skills, etc. so that I would be able to better match up with him.

But here's the catch – at the beginning of the relationship, my family knows about it and objects to him, saying that he's too good for me and that he's not taking me seriously, as well as saying about some other really nasty stuff about him without knowing him all that well, which was not really fair to him. Of course, knowing that it definitely wasn't true, I tried to speak up for him, but they said that I was very blinded by him and that I should really face reality and wake up, why would someone of such a good calibre want me. 

I discussed about this with him and it landed a really huge blow to him, as he's really very concerned about the opinions of the people around me and he was depressed for quite a long period of time. He was really understanding and understands that my family just wanted the best for me and that it was normal for parents to be protective of their child, but was still very hurt from their comments nonetheless. He told me that it’s okay and I should not worry my family, let them think that we have broken off, and keep our relationship from my family for the time being and we will figure out a way to solve this somehow eventually. I tried to talk to him, cheer him up, but to no avail. We continued sticking together and after a few months, he went back to his normal cheerful self. My family still suspects me going out with him from time to time and was quite unhappy, but kept silent about it, only occasionally dropping hints here and there and prompted me about it.

He was very depressed to the point where his family noticed the changes in him, and was really concerned about him. After asking him about it and knowing about my family’s objections and hurtful remarks, his family, who had really liked me at the start, started hating on me with the same intensity of how much they had liked me previously. They were really angered by my family’s unjustified comments about their son. I only knew about later on where he kept me knowing about this all this while and only briefly told me that his family knows about this matter a year later. However, he did not tell me that his family hated me because he was afraid that I would be hurt. It was only then afterwards where I found out from my mutual friends about they hated me.

His family knows that we are still together and although they disagree to it, they still respected my S/O’s opinion and did not say anything much about us. However, recently, his family has started rushing him for marriage and asked when would he be able to bring a good partner home, to which, he replied to them jokingly to give him a year and he would find one girl to bring home (cause he’s in his late 20s, they are worried, and I think, they really object to us being together, hence asking those). He did not tell me about this because he was scared that I would overthink, it was from the mutual friend where I found out about this.  

Honestly, I don't know what to do anymore. I’m having thoughts where I think I’m keeping him from finding his right one, but still, I really don’t want to leave him. I’m not telling him about this because I do not want him to worry about me. I’m very confused. What are your opinions on this?
","Romance, Advice
SHARE:"
3,"After 6 weeks of hard work, 100 hours of coding, 3 rounds of usability testing, my friend and I are very proud to launch our webapp analyzing 44,438 confessions on NUSWhispers over the past 5 years: nuswhispersapp.appspot.com

Do have a read and let us know what you think! :)
","Funny, Romance, Rant, Nostalgia, Advice, Ask Prof Ben
SHARE:"
4,"[ADMIN'S NOTE]

NUSWhispers is on TODAY! We had to share the limelight with NTU Confessions but bro, it's our honour.

Read the article here: https://www.todayonline.com/singapore/confessions-pages-where-students-reveal-their-innermost-thoughts-and-troubles-and

We started NUSWhispers in 2015 to ""give students a voice and encourage cross-faculty discourse"". We apparently over-succeeded and now we have cross-institution discourse, but the quality of discussions leave much to be desired. Nevertheless, we're pretty happy with our progress!

Thank you to everyone for your support, especially to our Top Fans and Top Trolls. The page wouldn't be what it is today without you (this is not a compliment).

Shout out to Prof Ben Leong for being our platform's ""celebrity ambassador""!

Here are our original interview answers if anyone is interested in reading them: https://docs.google.com/document/d/1p5Kh-0utbBEQUe7ZwU_rLEzu46o28df3lK8T0ww5lVE/edit#
","Funny, Romance, Nostalgia, Advice, Ask Prof Ben
SHARE:"
5,"My family is low-key super rich. We don't like flaunting it, but my mom always insists on hiring PIs and doing background checks on dates I go out with.

It is really odd to know a lot about the guy before meeting him IRL. Also, since I know so much, like family tree, associations, income level, and sometimes even estimated net worth, grades and habits, I often get so tense worrying and second guessing my words, in case I reveal more than I should know.

I've talked and insisted to my mom not to do this many times, but she refuses to give in. At the same time, I love and trust my mom so I will always tell her who I'm currently dating. Not sure what to do.
","Advice
SHARE:"
6,"I broke up w my ex of 2 years plus 3 months ago and recently I’ve been going out with this guy for about a month and a half. Starting, I wasn’t interested in him just wanted to hangout. He is really interested me, treats me really well and even brought me to meet his family. Slowly, I started growing abit of feelings for him but I’m not sure if I truly like him or not.. But few days back when I met up with my ex again, my ex mentioned that he was sorry for breaking up with me because he was too stressed with work army and studies and we quarrelled a lot but he really wants me back now and my heart started to kind of beat again? I don’t know how to put it. Now I’m stuck between, I know maybe u can say I’m selfish but I really don’t know what to do and doesn’t want to lose either of them now. I know I have to make a choice and give one up. Is this new guy I’m dating just a rebound? Should I get back tgt w my ex? Please help...
","No Category
SHARE:"
7,"Dear NUS community,

The stall owners of NUS FASS's Yong Tau Foo & Laksa are on compassionate leave as Mdm Ng Keow Ngoh, mother of the current owner, has passed away peacefully on 21 Sep 2019. Mdm Ng has been running the stall from 1997 to 2018.

Members of the NUS community who wish to pay their respects to Mdm Ng may do so at the wake held at Blk 211, Ang Mo Kio Ave 3, S560211, from 22 Sep (Sun) to 25 Sep (Wed) morning. The procession will set off for Mandai Crematorium on 25 Sep (Wed) at 10am. For any further queries, please contact 9819 7595.

Thank you for your understanding.
","No Category
SHARE:"
8,"Imagine this: Your first date last night went well. The two of you began the date as strangers, but left holding hands like a couple on honeymoon. Perhaps the two of you went on to do other things typical of couples on honeymoon, things which the said couple will only begin to regret some nine months later. Its ok: We are a judgement-free community here at NUSWhispers. Whatever happened last night, it is a new morning now, which means it is time to plan for the next date! 

Resist the urge to text back immediately. From previous posts on NUSWhispers, you should be familiar the secret of baby powder and friendship bracelets. Don't let the beeping of his phone spoil the magic moment as your guy wakes up drunk on the strangely familiar yet intoxicating scent of baby powder and the lingering memory of your smooth and supple hands gliding up and down and up and down and up and down... your friendship bracelet. Give him time. He will text you first. 

While you wait for the guy to text back, I recommend that you ransack your cupboard/storeroom for an important yet underappreciated item: the JC hoodie. Poly and Uni hoodies are NOT an acceptable substitute. What to do with the JC Hoodie follows many of the principles set out in the baby powder and friendship bracelet posts. 

1. Recall that baby powder seeks to subconsciously evoke the image of babies and hence babymaking.  In a similar manner, the JC hoodie seeks to subconsciously evoke the memory of your date's first (serious) crush. At this stage, you have no idea whether your date's crush is the school valedictorian or the head cheerleader, a catholic schoolgirl or a foul-mouthed lian. It dosen't matter. Just wear the JC hoodie on the second date, and follow his gaze as he mentally undresses you. Let his eyes tell you all about his first crush, and it will be obvious how you should continue. 

2. Like the friendship bracelet, the JC hoodie is an excellent conversation starter: By talking about the friendship bracelet on the first date, and the JC hoodie on the second, you ensure that your date's gaze remains transfixed on some part of your body. Leave all the meaningful conversations about hopes, dreams and values to your friendzone. Remember: This is a date. Your favorite bible passage is 2 Samuel Chapter 13. 

3. Like the friendship bracelet, the JC Hoodie helps you to initiate physical contact. Recall that when you play with your friendship bracelet, the movement of your hands across the bracelet hint to your date how you want to touch him. When you play with your JC hoodie, the movement of the sleeves on the hoodie hint to your date how you want him to touch you. 

Hence, on your second date, start with the hoodie fully zipped up, but gradually unzip as the day progresses. Find an excuse under the hot singaporean sun to give your date the pleasure of taking it off. When sitting down for dinner, wrap the hoodie around your butt, your lap, your waist, your breast, your shoulders. Cover all your sensitive spots with the hoodie, or alternatively cover everything but your sensitive spots. Let both of your imaginations run wild.  

Above all, remember that the texture of the hoodie is different from the texture of normal clothes, which is different from the texture of lingerie, which is different from the texture of bare skin. Educate your date on the subtle differences between each of these. Let him learn to recognize each by touch. Let him learn your language of love. Let him be the first to say ""I love you"". 
 

xoxoxoxo
","Funny
SHARE:"
9,"Prof Ben, is it necessary to have a degree in order to make it big in singapore? the truth is, without a degree, how far can one go? wells.. you may say we need more than a degree. 

so what do we need in order to succeed in life???
","No Category
SHARE:"
