,confessions,categories
0,"Dear Prof Ben & chem eng or chem majors,
Year 1 student here. Upon working-seniors' convincing, im deciding to change major away from pharmacy but my interest lies in pharmaceutical industry manufacturing. The existing bsc pharm curriculum doesnt seem to fit the need despite the specialization. Can seniors please advice which track in chemistry or engin should i take and if modules address the needs of industry?
","Lost and Found, Ask Prof Ben
SHARE:"
1,"To OP #74590, I can totally understand how you feel. In my situation, is not exactly the same as yours. 
I, however, broke up with my partner of 3 years over several months ago. I understand that I initiated it, and I dated a few people afterwards. I've met people who used me, played me, and being overly desperate beings (too nice to me),  yet still feel like I couldn't find anyone better than my ex. But I didn't wanna patch back because I felt like we were toxic and I became the worst version of me. 

We both had quite a bad temper and low tolerance in general. Whenever one flared, we would ended up quarreling. I don't see myself growing to be a better person in terms of patience. And I really want a patient person who will not flare up over minor things, and will influence me to be more patient as well.  

However, it made me more wary of love, such that I would want to be more understanding towards my next partner, address whatever issues we have as a mature adult, and help each other grow into the best version of ourselves.
","Lost and Found, Advice, Ask Prof Ben
SHARE:"
2,"It is awful of me to decide to play the person who played me? He asked me out and agreed to fetch me the next day, and then on that day itself he completely ignored my question when I asked him was the plan still on because he sort of messed up by oversleeping etc. 
Instead of cutting him out, I just felt like doing the same back to him. I know it's awful and unhealthy to live this way, but is it normal to feel so angry getting played? I know it probably won't hurt him if I do back the same but I just want him to feel played at some point too.
","Lost and Found, Rant, Advice
SHARE:"
3,"Every semester, no matter how hard I study, I always get B+ for all my modules. I feel kinda salty because I can't even SU anything to pull up my CAP. On the one hand, I'm grateful that I'm still at second upper. On the other hand, 4.0 is very shaky as it could just drop to second lower easily. My CAP has been stuck at 4.0 for 3 semesters and I'm tired of worrying every semester whether it will drop below 4.
","Lost and Found
SHARE:"
4,"Hi, so I was dating this guy recently, and I felt like the reason he tried to keep me around is to use me for sex.. 
Even though he denies it, I realised that he doesn’t make any effort to meet me properly. Whenever he asked to meet me, it’s either work related or a place to chill. I actually gave up on this date already. 
However, recently I think he invited me to a family event the next day while he was kinda drunk? Wasn’t sure if he was drunk as he was still capable of walking and eating but he sounded drunk when he called me. 
I didn’t really believed his sincerity in the invitation as that was so unlike of him.
Next day, he kinda airplane-d me. When asked him about the event, he just ignored me and told me he reached his family event late etc. 

Anyone ever gotten this kind of shit from guys before? I feel like most of the guys I met are jerks lmao.
","Lost and Found, Advice, Ask Prof Ben
SHARE:"
5,"Lost my white Puma jacket in PGP bus stop or on A2 bus around late October, email the bus service, and they say no such thing is found, I really like this jacket, can someone pls help?
","Lost and Found
SHARE:"
6,"I'm trying to find my online friend back, she's from NUS and she likes to read NUSWhispers. She wants to remain anonymous so she added my tele handle but her tele bugs out once in awhile and our chat is deleted, until she messages me back again.

So if you're reading this S, know that your tele bugged out again and its been like a week. Let's watch modern fam on netflix party again. 

P.s. I left a message on discord as well
","Lost and Found
SHARE:"
7,"To my junior in uni,

I feel like i have to get this off my chest because the guilt has been killing me every day that i avoid it. It's not that i forgot to contact you, but i dont think i have the face to do so, even more, after finding out that you're in the same course.

I would like to apologize for the misdirection given to you years ago because back then, i was in uni and i really had rose-tainted glasses on, sharing with you how great being a pharmacist was without knowing fully. One could say i was optimistic, i wanted to be at the front line, studying hard so that i could be the best pharmacist for my patients. But I too was not fully aware of whats to come back then.  

Fast forward to now when me and my peers' bonds are ending... i really cant say the same. Day-2-day, yes i do counsel patients, do medication reconciliation, even run some clinics and help patients with their medications and pre-meds. There are good days, then for the a majority 90%... not so. it all feels empty, it feels like routine with no growth. It feels like what i do is not valued, not respected. With my peers, I feel happy but in the wards, it's like I am transparent to all. What I hoped to bring about for my patients, was slowly never to become a possibility. What i learnt and studied was rarely utilized, and sometimes sadly forgotten, and I have recognized this as early as my pre-registration days. With others leaving in high numbers over the past years, leaving us few behind to continue their workload is also tiring. Now it is my turn too, but i also cant see how my skills here can be useful outside and wonder if it is too late to start anew as well. I am afraid but I myself also want to find joy again.

I really wish i shut my mouth back then, or knew more to provide you with a more balanced view. I really hope it isnt too late for you like what has been for me. 

I have so much more to say, but
Humbly seeking forgiveness, and wanting to sleep in some peace,  V
","Lost and Found
SHARE:"
8,"I saw the other confession and I also wanna say I have the biggest crush on my CS1010S tutor too? Is he single??

I hope you see this somehow! I'm from Tuesday 3PM :D
","Lost and Found, Romance
SHARE:"
9,"Not an NUS student, but I'm looking for one.

About a year ago, an NUS girl struck up a conversation with me (also a girl) on a Circle Line train towards Kent Ridge thinking I was a fellow student. As we talked, she mentioned that she was an aspiring teacher and enjoyed asking her students philosophical questions like ""What is the meaning of life?"" (which is, honestly, a little weird, but I'm also weird so I'm intrigued).

Unfortunately I didn't get to ask for her contact info before I alighted at one-north, and I don't know anything else about her. I've been looking out for her on the train ever since but I guess our timings just never coincided again.

I'm not really expecting to be able to find her by posting this, but it'd be really cool if I did. If anything, I'm just curious about how she's doing. If you're out there, I hope you're doing well!
","Lost and Found
SHARE:"
10,"Can I just say here, that I find my CS1010S tutor real handsum? I wonder if I have any chance... :(

I hope you see this somehow! I'm from T19 :D
","Lost and Found, Romance
SHARE:"
