,confessions,categories
0,"It has been 2 years since we broke up and for the past 2 years i have tried to forget about it and moved on with my life. I got myself busy with work and seeked self-improvement. For some time, I didn't had any issues and able to commit myself into work and focus on life goals.

But for the past few days, all of the sudden I had flashbacks of the time when we were together and I can't seem to focus with my daily tasks and spent time thinking about it ..

How can I overcome this?
","Romance, Nostalgia, Advice
SHARE:"
1,"To be honest, it feels like I have come so far till the point now in NUS. Meaning I just feel like I am not as ""pure"" as before, and I have the tendency of wanting people to change perceptions of me.

Just a background of myself. I used to study overseas during my nursery and kindergarten, where English was not my first language. Only since primary school, I have always been studying in Singapore. As I was mostly home during those periods where my parents were working day in day out, I had never really socialise with other children. I did not even know how to communicate with them and not even knowing how to make friends. 

This got worse in primary school where i suffered bullying for about 3 years, where i had the naive thinking that if I was nice to anybody regardless bullies or not, they will appreciate me one day. But no, this never happened and school had been hell for me. They even criticised my looks and me being ""weird"". My mum found out one day that i was bullied and told me to be harsh if need be. I totally changed my attitude towards people, changed my looks by dressing more appropriately and etc and even focusing on building close connections. Of course in between I had experienced some ups and downs during my connection with people, such as betrayals and even those with toxic mentality. 

Thus I feel like I have changed in terms of how i interact with people. This is good for me personally as I have more people to communicate with and etc. But what I have noticed is, based on my past experience of making such connections, I just cannot help but have the tendency to always change myself(such as looks, personality and etc) as compared to how people usually view me. For example my secondary school friend had the thinking initially that I was always very quiet, not dressing up. But now in the same uni, she saw me and commented that I look and act totally different of how she viewed me initially. Even towards the bullies in the past, I kept making sure I look better and do much better than them even though i tried my best not to bother about them. However after meeting them, I then focus on how to make myself even better than before and change their perceptions for the better. In short, I seem to bother more about people's opinions and impressions of me, when I am trying my best to love myself by just being myself. Instead it feels quite pressurising at times having these tendencies. Sighs...
","Rant, Nostalgia, Advice
SHARE:"
2,"I had a crush on a girl from computing last semester. I tried to sit close to her in every single lecture but didnt dare to approach her because i scared that she would find me creepy. Today, i saw her again in another lecture sitting with some other girls and sat right behind her. This time, i decided to talk to her after lecture. However, right after lecture, i saw her going off with another guy and my heart broke.
我会发着呆然后忘记妳，接着紧紧闭上眼.想着哪一天会有人代替 让我不再想念妳....
","Romance, Nostalgia
SHARE:"
3,"Its been 12 years since we first met. The first time I saw you, I froze for a few seconds just thinking of what an angel you were and how happy I would to just be your friend. You were absolutely perfect and honestly, out of my league. 

As months past, we got closer and began hanging out on our own. Somehow you started coming to my house and spending time with me despite your ridiculously tight schedule. I thought you were just fooling around and so I didn't put my all into it. I was always half hearted for I feared of getting myself burnt infront of a ""too good to be true"" perfect mate. 

I guess you grew tired of waiting and hinting, that over the years we each met our current partners. I told you I missed you then but I guess it was too late. It's been 4/3 years since each of us got married respectively but not a single day has passed for me without thinking of you. 

I love my current partner and am responsible for our marriage and will not do anything to jeopardize it, but my heart still yearns for you every day, every minute, uncontrollably. I hope you have found your 100% happiness with your partner and will never look back. 

希望你以后不会后悔没选择我...
","Romance, Rant, Nostalgia
SHARE:"
4,"It’s 2020 and I cannot hold it anymore. This has been bothering me since last semester. I played a nasty and despicable trick in order to get into the dean list. I feel like confessing here because the guilt is eating me alive every night. I can’t believe I did THAT to bring down my cohort peers. Please do not judge me; I’m really here to share my stories. So where should I begin? 

Last semester, I had four finals. I remember I studied till very late and I snack a lot. Like literally a lot. I swear I ate a house full of chips, cookies and some sugary candies. I was so hungry while studying in UTown. I stay in a hall by the way. So what happened was that I had a bad stomachache. I couldn’t unload my faeces naturally. It feels like entering the JB custom - always jammed. The night before my first paper, I did not shit. I hold my shit throughout the examination as I was so stressed and worried for my paper. I silently farted and I think it affected the people around me so badly that they were complaining to the invigilators. I even saw the guy beside me almost vomited by giving an awful expression. It hurts me so bad that my farts are making people around me uncomfortable. I tried my best to hold them but I couldn’t. I kept letting waves of smelly farts during the whole duration of the examination. As a result, some of the people around me did not complete their paper and submitted half-answered paper. I glanced and I saw. I was so remorseful about this. I observed the same trend for the other three papers. I told my best friend after this. She told me it was not my intention and I shouldn’t feel bad about it. As a shy girl always, I don’t know what to do. 

Although my stomach is feeling way better now after the exams, I’m fearful that the same shit will happen again in this new coming semester. I’ve two finals this time round though.
","Funny, Rant, Nostalgia
SHARE:"
5,"I’m best friends with this guy - we meet so regularly and text so much and I love it. I love him. In a platonic way. Recently we had this idea of making a bucket list sort of thing together. Things to do in 2020. And it was all going well until we actually made a physical list (on WhatsApp). And he created it with the title Dates ....... I have no idea how to feel. I mean I want to ask him why he labelled it as dates but I also don’t want to make it awkward for nothing. Is it a big deal? can the word date be platonic? Am I overthinking this? I don’t want to lead him on but I also don’t wanna be extra when maybe he’s just calling it dates for the heck of it. Please help. Sounds like a small issue but I don’t know whether it’s normal so it’s making me freak a little. Thanks x
","Romance, Rant, Nostalgia, Advice
SHARE:"
6,"Ang moh student here. I want to share a little story... I went to FairPrice today to buy some groceries as the trip has been long overdue. The store appeared to be very busy, as it was after work hours for most people. Once I was done shopping, I got to the tills and jumped between several tills to try and beat the crowds. At the last till I waited, it seemed to take forever, so I became a bit inpatient and at the same time annoyed, that it was taking such a long time. I honestly couldn’t understand why it was taking so long when the other queues appeared to be moving faster. As I got closer to the till, I saw an auntie behind that was scanning the products and bagging them for the customer in front.  She appeared to be older than 60 years old and although it seemed like she was doing everything very slowly, I could tell that she was trying to rush and do it as fast as she could. I instantly felt extremely bad for getting a bit annoyed and wondering why the check-out couldn’t be faster. After  having a good look at her, I looked around and realised that most of the staff members appear to be elders but that doesn’t stop them from doing a fantastic job. My heart clenched at the realisation that people of this age have to still continue working. It made me really, really upset, but at the same time angry, as I see posts on here about people asking whether they should give some money to their parents. 

My mum also works at an unqualified job and this really hit close to home, as I could picture her in this situation since she is alone and has no savings. The point I’m making: please take care of your parents and for god’s sake, give these people a well deserved break by providing a state pension like any western country. If this country has the money to pay every boy to go to the army for a year and a half, why doesn’t it have money to provide state pension?
","Nostalgia
SHARE:"
7,"So I didn't grow up in a well to do family. I remembered I asked my mum can I get a 西游记 (Journey to the West) when I was young. She couldn't buy it for me because she rather spend the money on more useful stuff. I didn't get much toys when I was young either. I played with books that my Sister read. I only got two toys when I was young. A toy car and a mini cashier. I still had it till today. My army mates asked me about the stories of those Disney cartoons. I couldn't answer because my Mum didn't subscribe to any disney channels as I was not well to do. So I watch Channel 8 dramas and that was my childhood. They said I got no childhood, laughed at me for not knowing what they were talking about. I have childhood. My childhood was so much better than you. My dad brought my to fishing. My mum brought me for window shopping. My sister going on a breakfast with me on a Saturday. I am always rich, because I have my family constantly by my side. I do not need to substitute solitude with cartoons because my family are always there. Dont say I got no childhood. In fact, you are the one without.
","Rant, Nostalgia
SHARE:"
8,"I like this guy so much and I have a feeling he likes me too. We text Everyday. And I love seeing him. And he makes me so happy. I love him. I know that. But I’m so confused as to in what way. I get jealous if he tells me about his past girlfriends or past crushes. But at the same time I don’t have a desire to kiss him or have s*x with him. I’m not asexual or anything I have had the desire with others. I want to hold his hand. And sit with him. And touch him. Just not like that. But my feelings say I love him. I’m so so so sooo confused as to what to do. I have no idea if I like him like him or just as a friend? The thought of him being with someone else in future makes me sick. Please help. I’m so lost. I don’t want to confess to him if I don’t actually like him and am just confused.
","Romance, Rant, Nostalgia, Advice
SHARE:"
9,"Yesterday, I dreamt of a guy that was going out with me. I was really happy, really really happy. But I woke up. I realised it was all a dream. I sat on my bed, looking back at how far I've come.

In primary school, people called me all sorts of names e.g. ahgua, guniang, sissy etc just because of my more feminine moves. I brushed all of that off because I know all their opinions were not important as I am who I am. 

As I start to mature, I started to realise I am interested in both male and female. Whenever I am walking on the streets, I would be checking people from both genders out. I would be stealing a glance at them and thinking how good would it be if I could also get a partner just like them, be in love etc. 

As I grow up in a conservative family, I am unable to voice out or to vent my frustrations at people, not even my friends. I have never told anyone about my sexual preferences. Even I, as the owner of this body, denied the fact that I am actually a bisexual. I cheated myself into believing that I am straight, and this constant suppression of desires had myself depressed and really introverted during my teenage years. However, deep down I know I am actually a bisexual. I would then cry myself into sleep, wondering why am I different from what the society perceived a male should like.  

As I enter poly, I met more people. I see people from all walks of life, be it straight, bisexual, homosexual etc. And I remember it was one fine day, on my way to school, a thought came across my mind. If I intend to keep my sexual preference as a secret forever, and if I continue to deny the fact that I am a bisexual, isn't it very pathetic as you don't even recognise and acknowledge yourself for who you really are? Because if you don't even accept for who you are, how are you expecting other people to accept who you are too should you tell them about your sexual preferences in the future? From then on, I start to accept myself for who I am and I am happier and contented with life since.

Although I still don't have a partner as of now to adore me, at least I appreciate who I am, and I love myself more as compared to the past. 

I just wanted to share my story. I hope to let everyone knows that there is this group of people in LGBT society who are still suffering internally. Not because of how you think of them, but how they think of themselves. Just because society sets the standards and all of us believes in it, this group of people just follow blindly and thought the standards was ""right"", thinking that the outliers (like them) were ""wrong"". Truth is, society isn't always right. Only if we could all think deeper, be a little compassionate and stand from a different viewpoint. Maybe, just maybe, the world would be a nicer place. Thank you for reading this post :)
","Nostalgia, Advice
SHARE:"
