,confessions,categories
0,"I feel so depressed, I am currently pregnant after working for more 4 months and my boss have told me that my Director have the rights to find a reason to fire me if he knows that I am pregnant. Is that true? Is there anything that I can do to prevent this?
","Advice, Ask Prof Ben
SHARE:"
1,"I went to the US for exchange last sem. I was surprised that most of the females there had really great figures. They have big boobs and butts, even those 150cm had really great assets too.

Whereas in Singapore, most of the females are pretty flat. I am just really curious if this is a genetics thing, or could it be the food and environment the americans were brought up in? Serious qn, no bashing pls..
","Advice
SHARE:"
2,"I need some advice on what to do. Or what and how to talk to my boyfriend. I feel that he is becoming a talk-only-no-action guy. Just some background: We have been together for over 2 years. Everything is close to perfect. He treats me well, his family dotes on me, financially stable, etc. My biggest concern is the issue of ""only words no action"". I will list a few scenarios below.

When I first get to know him, he said that his dream was to own a car to drive his family around because they have never had a car. I thought that was really sweet and filial. But now, whenever I asked when will he be getting his driving license, he will say that he has no time. He said that we often meet a few times a week, and his weekends is to accompany me. I said that driving lessons is only 1-2hours. It's only that short time, I don't think it will make a big difference in our meeting schedule (not that we have a fixed schedule to begin with). And of course I'm willing to compromise to meet him lesser if he has other commitments.

When he first met my parents, he told them that he has the intention to study MBA part time. I thought that was really awesome because he has ambition. But, when I asked him about the MBA plans, he said that it is very expensive. I said maybe can see if his company is willing to sponsor and he stay for a few more years. He said, no because he wanted to change job. (Until now, he is at the same job and not actively finding jobs. It's been over a year since he said that.)

We wanted to buy a resale HDB. I went to do a lot of research on the purchase process, check various property websites, calculate our loan eligibility and shortlisted many houses to discuss with him. I told him, we have to start to contact agents to do house viewing, because the viewing process will take many months. But he said he will need to call the bank to confirm our loan limit before we do viewing so we will know our limits. Ok, so I waited. And waited. It's been more than 6months, so I told him that we need to resume finding house. I got upset because my prior effort was down the drain as the houses that I shortlisted would either be sold or prices changed. So he said that he will call the bank. The last time we talked about it was a month ago, still nothing done. I really don't know what to expect anymore.

There are more similar scenarios. Some are big issues, some are more trivial ones. I need to remind him multiple times before he does it. Recently I went to a wedding dinner, and told him some beautiful things that happened at the wedding. He said, 'you know I will do all these for you too right?' I just smile and nod. But deep down, I really don't have anymore expectations.

When I try to seek advice from my friends, the females and males gave very different response.

The females will ask me to hint him once in a while and try to talk to him whether he has anything holding him back. When I do that, he got pissed and say, 'ok. I will do later ok?' I did ask him if there are any reasons for him not doing those things. As mentioned above, some are about money and spending time with me. I tried to give alternative solutions but still no action taken.

As for my male friends, they will say that I'm asking too much of him and causing him to feel stressed. They said I should give him space and let him do things at his own pace. Actually, I did give him a lot of time. I don't mind if the process is slow, but all I'm asking for is a bit of progress. To me, it's not about the duration of completing the thing. I'm more concerned that the thing is either status quo for a long time, or didn't even start.

I may sound a bit shallow for this part. After getting together, he gained weight. Even his mom secretly told me to encourage him to exercise more as she realized that he gained a lot of weight. I did tell him to exercise more and he will say 'I know lah'. When I suggest to go run together, he refused because he is unglam. His physique makes me less and less willing to be intimate with him. 

Maybe his words-no-action attitude is also part of the reason for feeling less attracted to him. It's like having those colourful expectations which he portrayed but he did not do anything to achieve it.
I feel that as a couple, we must have goals and move together towards the goals. I just feel tired to be the only one trying to move forward.
","Romance, Rant
SHARE:"
3,"Is it normal to fap everyday? Will I die early or something? :(
","Romance, Advice, Ask Prof Ben
SHARE:"
4,"When dating, typically how long do you wait to have sex with that person?
","No Category
SHARE:"
5,"Hello! Am a Y2 female student at NUS, and was wondering how I can look for FWBs with no strings attached?
","Advice
SHARE:"
6,"I am just a 24 year old guy with many acne scars on my face with from SOC with decent grades, boring, not rich and not romantic either. 
My partner just needs to be fair and sign a prenup that ensures everything is split 50% if a divorce happens and I won't be paying for her living expenses because both of us should be capable of earning our own keep.
I don't intend to have a child, because I do not want to deal with the stress of bringing the kid up, education, the teenage repulsive puberty stage and their future. On top of that, I believe that if I love the child, I should not even bring him out here to suffer in this competitive society.
I believe that whatever we earn can be spent on ourselves(after giving our parents) and we can just go on holiday trips together and we can just spend the rest of our lives like that.
Is this ideology weird? Or does it turn off ladies?
","Romance, Advice
SHARE:"
7,"I want to share a random small act of kindness that made my day. 

It was raining pretty heavily. As I was getting off the bus at KR, I noticed this guy holding up his umbrella after he alighted onto the platform. At first, I thought he was waiting for his friends, but turns out he was holding the umbrella for everyone getting off! My friend and I got off the bus without getting wet and cold. It might have been a small gesture, but that bit of extra effort made my heart warm in the cold rain. So... to that gentleman, thanks again! :)
","No Category
SHARE:"
8,"Sometimes i wonder why engineering is so dead. No bash, no events, nothing. Literally every other faculty has bash except engineering. Any seniors care to enlighten me why this is the case? Furthermore do girls in engineering not see a need to dress better for school? Look at girls from FASS and business... none of them come to school dressed in FBTs and drifit. When engineering is literally the faculty with the highest percentage of males, wonder why they dont see a need to put in more effort to look better.
","Rant
SHARE:"
9,"I have been with my girlfriend for 3 years and we both agreed not to have sex until marriage. We have never been physically intimate. I had an ex before and I am not a virgin but my girlfriend is a virgin. But I always have this nagging worry about what happens if we find that we are sexually incompatible in future? I know that the incompatibility can break even the best relationships. I tried to discuss it with my girlfriend but not much progress as she is inexperienced and does not know much. As asians it’s also very difficult to discuss such issues in depth. What is the best way to solve this problem?
","Advice
SHARE:"
10,"I’m 27 and in a quarter-life crisis. I was never really fussed about life, i just wanted to take things as they come. I’ve been investing some money on my own and focusing on my job and stuff. But a lot of my friends and people around me are getting married or engaged, BTO-ing, and thinking about having kids (or some already have kids).

Am I the only one who feels like I’m frozen in time or stuck in a rut somewhere while everyone is racing ahead with life? I know everyone lives life at their own pace but I feel like mine is TOO slow. I haven’t dated anyone in over 2 years I think since I started working as i have had less time and opportunities to meet new people. I don’t use dating apps but I’m starting to wonder if that’s the only way to meet someone?
","Advice
SHARE:"
11,"Is it right that one partner controls all the money in the household? My girlfriend and I were discussing future plans and she said if we were to be married, I need to hand over all my salary to her and she would manage the money. I really feel uncomfortable about this. I have proposed that we have a joint account where we each contribute some of our salary for household expenses but she flat out refused. She doesn’t budge on this issue and it’s either I accept or leave. I just feel it’s not right that I need to ‘beg’ her for money in future if I need to buy anything and it just bruises my ego as a guy. If she manages all the money, there is no accountability and I won’t know if she has spent some on herself. Can anyone advise me what is the best way out?
","Advice
SHARE:"
12,"Someone, that I have good feelings for, just confessed to me. It came as a shock to me and I’m very confused right now. 

He is a really nice guy. He is nice to the girls all around him and always watching out for me. I didn’t really give much thought about it when he was nice to me, because I always thought he treated me well because he retarded me as a xiaomeimei. He takes care of the people around him very well. Even though my friends always tease him about me (when I’m not around), he always say no. There were also many times he said he is not ready for a relationship at this stage, he hasn’t gotten about his ex, and he is just figuring out his life right now. 

From my understanding of his personality, i’m just afraid that he mixed up his care and concern for me as a xmm for romantic feelings. 

I understand that he has been through a few bad relationships, and I do as well. Both of us are looking for a good and nice partner. And I really wish I could sort this out with him. I think it’s only fair, for him and me, to know each other feelings. 

How should I raise this up to him? I feel like both of us are really not ready for this. The guy, being the kind and nice guy, would definitely deny it. I don’t know what to do.
","No Category
SHARE:"
