,confessions,categories
0,"Have been trying to look for a senior software engineer from Singapore but I keep getting applicants from all over the world except Singapore. I asked my friend where all the Singaporeans from School of Computing people go, and he said probably banking. Is that true??? And on that note, YES I AM STILL TRYING TO HIRE!! Any former NUS SoC people with 2-3 years of experience interested in making a career switch or something? Comment with your skillset and I promise to read through it and DM you!
","Rant
SHARE:"
1,"I just need a space to rant and speak my mind. Currently in a long term relationship, and as things progress, my gf and I have been talking about our future arrangements/agreements. When it comes to money, she controls everything that I earn. Everything I do have to go through her too. Whenever I have a differing opinion to her, she gets extremely upset. She can’t understand my point of view when it comes from me, however she’ll be more understanding when she speaks to her friends about it.  She does have valid reasons for everything, and I can understand her point of view. But I am just not comfortable with losing control of everything that I do. We are both on equal footing in our jobs, and I’m starting to lose sight on why it’s worth sacrificing everything I find important to me to be with her. I have and am willing to compromise on things that are important to me as I know a relationship takes two to make it work. But to what extent? She’s always there for me, as I am for her. I support everything she does and everything she wants. I’ll rarely say no as I want her to be happy. But it’s always a no when it comes to me on issues she disagrees. When I do disagree with her, she gets upset but does  have reasonable reasons for it. But I just want to do something that I want to sometimes. It’s not something big like buying an extra house or car etc either.  I am beginning to just agree with her to prevent any further arguments.
","Rant
SHARE:"
2,"I am writing this because I have no idea how to tell it to you in person. Perhaps you might just skim thru this post and if so, so be it. 

I confessed to you last year and you rejected and the ensuing awkwardness started to kill our friendship. I assured you that everything was okay but it's quite obvious that our friendship is dying. We stopped voicecalling on discord and we rarely chatted except on a few rare occasions. I was at least glad to see that you were enjoying yourself but internally I was agonising deeply because I couldn't spend time with you. You promised to go to the arcade during the holidays and even watch a few movies but the promises were unkept. I was devastated because each day I looked forward to you inviting me out which never happened. Perhaps I wasn't as important a friend that I thought I was to you. I couldn't tell you these because it's just my anxiety and I shouldn't trouble you with these. 

Recently you asked why I was being weird towards you. I like you and I know that I can never be with you. I have no idea what to do in this situation. Every moves I make feel like a losing one. Maybe all these are just another case of me overthinking. I just don't know what to do.
","Rant
SHARE:"
3,"I too have the same dilemma with the poster of  #75148. I believe that NUS halls and residences need to be stricter regarding visitors in hostel rooms, especially that of the opposite gender. I personally have multiple cluster mates who bring in their girlfriend to their rooms regularly. The most egregious one of them is my direct neighbor and I can hear their voices and sounds very clearly from my room. As a healthy single male, I not only found this to be rather distracting, but only terribly aggravating! Here I am, trying to study hard and there they are in the room beside me, doing all sorts of nonsense that students of a supposed elite institution like ours should not be doing! I would like to report this issue but it seem very prevalent and the management is probably closing one eye about it. Something has to change!
","Rant
SHARE:"
4,"So many side projects taking over official projects, like NUSMods, NUSWhispers and now NUS Buses. Office of Campus Amenities really need to buck up their support for the NUS Modification projects which surpass whatever they offer.

Really makes you wonder if those are the last things on their to-do list, when student volunteers develop better stuff than their staff.

Obligatory ""I paid thousands in semester fees for this."" and ""This provides opportunities for students build their portfolio.""
","Rant
SHARE:"
5,"To be honest, it feels like I have come so far till the point now in NUS. Meaning I just feel like I am not as ""pure"" as before, and I have the tendency of wanting people to change perceptions of me.

Just a background of myself. I used to study overseas during my nursery and kindergarten, where English was not my first language. Only since primary school, I have always been studying in Singapore. As I was mostly home during those periods where my parents were working day in day out, I had never really socialise with other children. I did not even know how to communicate with them and not even knowing how to make friends. 

This got worse in primary school where i suffered bullying for about 3 years, where i had the naive thinking that if I was nice to anybody regardless bullies or not, they will appreciate me one day. But no, this never happened and school had been hell for me. They even criticised my looks and me being ""weird"". My mum found out one day that i was bullied and told me to be harsh if need be. I totally changed my attitude towards people, changed my looks by dressing more appropriately and etc and even focusing on building close connections. Of course in between I had experienced some ups and downs during my connection with people, such as betrayals and even those with toxic mentality. 

Thus I feel like I have changed in terms of how i interact with people. This is good for me personally as I have more people to communicate with and etc. But what I have noticed is, based on my past experience of making such connections, I just cannot help but have the tendency to always change myself(such as looks, personality and etc) as compared to how people usually view me. For example my secondary school friend had the thinking initially that I was always very quiet, not dressing up. But now in the same uni, she saw me and commented that I look and act totally different of how she viewed me initially. Even towards the bullies in the past, I kept making sure I look better and do much better than them even though i tried my best not to bother about them. However after meeting them, I then focus on how to make myself even better than before and change their perceptions for the better. In short, I seem to bother more about people's opinions and impressions of me, when I am trying my best to love myself by just being myself. Instead it feels quite pressurising at times having these tendencies. Sighs...
","Rant, Nostalgia, Advice
SHARE:"
6,"As someone who graduated from university some years back, I can't stress enough the importance of having a good mentor. I wasn't from NUS, but my mentor was. You see, my mentor was the longtime CEO of the company I work in and he was a Jack Welch-type figure here. Suffice to say, many of our company's businesses were built up by him.

I was not his original protege. It was another person. Let's name him X. X was originally the COO to my mentor and was slated to take over when my mentor retires. However, X was caught dabbling in some backdoor transaction. My mentor then ousted X and made me his heir-apparent. After some time, my mentor retired and I took over as CEO. My time finally came, or so I thought.

Not long after I took over as CEO, X managed to return to the board of directors by convincing some shareholders to support him. However, I once again found X dabbling in yet another backdoor transaction, so I ousted him from the company again. I also tried to form some joint ventures with our smaller but more nimble competitor for synergies and got a foreign conglomerate to invest in our company. This must have incensed my mentor for he hated our smaller competitor. I am unsure how it happened but some company money somehow landed in my personal bank account. You don't look at the gift horse in the mouth, so I decided to spend the money to pamper my wife instead of on myself.

On the pretext that I somehow lined my pockets with company money, my mentor is now conspiring with X to oust me at the next shareholders' meeting. My wife is also not helping as she keeps wanting to advise me and repeatedly emphasises that I am the CEO with the power to snuff out this conspiracy asap. It's vexing and I now regret having treated my mentor with gratitude. To all you young ones, please open your eyes wide and clear when following someone as a mentor.

I don't suppose you students have an answer to corporate shenanigans, so I just need your help for a simpler question: my friend wants to buy either a yacht or a submarine as his latest toy. Which should he buy?
","Rant, Advice, Ask Prof Ben
SHARE:"
7,"Second day of school and there is already barely any space to study in Central Library. The study areas in Level 3 and 6 are closed for renovations, and the newly renovated level 5 is not enough to cater to the whole population of library goers. The new first floor atrium also does not have tables and chairs for studying. Hope something can be done about this, otherwise it will be a very tight squeeze this semester.
","Rant
SHARE:"
8,"The same old response every time you say you are lonely
1) Do volunteering
2) Go to church
3) Offer yourself as sugar

Nevermind I stay lonely
","Rant
SHARE:"
9,"Does anyone else think it’s becoming more and more challenging to live and communicate with parents as one grows older?
I’ve been quarrelling a lot with my mother lately and it feels so emotionally draining. Probably a part of it is my problem as I’ve been facing a lot of stress at work lately and it’s affecting my mood when i’m at home with my family. But I guess she can be very unreasonable at times too. Let me give some examples to illustrate.
She’s a clean freak bordering on OCD. Every day when I come home from work, instead of asking about how my day went, she’ll nag about how my cleaning is not up to standard, things in my room are not where they’re supposed to be, some of my clothes not ironed immediately after washing, the floor is perpetually dusty...and many more of such trivial stuff. Well, I certainly would do a better job if I’m a full time housekeeper, but I’m not! It’s hard for me just to have peace and quiet after a long day at work.
She’s been a very authoritative parent since I was young and it doesn’t change now that I’m a working adult. She’ll dictate what time I should go to bed and wake up, take my meals and shower. And openly voice her displeasure if I don’t obey or try to reason with her. Sometimes she even makes comments about my outfit and won’t stop until I change to something she prefers. Aren’t all these too much now that I’m all grown up?
At home I totally have no privacy. She’ll open my cupboard and drawers as and when she pleases, and sometimes discards things that she deem not useful without asking for my permission. She’ll judge me on the stuff I have / bought (e.g “I found .... in your drawer, you bought yourself ah? Or someone gave you? Gosh, it’s so ugly.”). Don’t understand why she must do such things, sigh. 
The worst thing is that she nags at me endlessly for being single and not proactively looking for a bf. She’ll keep hinting at how many of her friends have become grandmas, and sometimes when she’s unwell or in bad mood she’ll loudly exclaim, “Aiya wanna die also cannot die in peace, my daughter still not married,” making me feel bad like I’m such a burden in her life :( Well, the reason I’m single now is that I used to get cheated on by my long term bf 2 yrs ago and I’m still living with the trauma until now, so I feel very deeply hurt when she says such things...
I do not despise my mother in any way, deep down I still love and respect her. Just that at times I got really frustrated and in desperate need for some space, autonomy and privacy now that I’m a working adult. And I wish she won’t keep forcing me to find a bf when I’m not ready.
Any suggestions on how to deal with such a parent will be much appreciated. Unfortunately moving out is not an option as I’m not earning much and don’t think I can afford the rent.
","Rant, Advice
SHARE:"
